image_relpath,num_detections
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3028.JPG,26
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3029.JPG,31
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3030.JPG,7
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3031.JPG,29
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3032.JPG,21
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3033.JPG,25
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3034.JPG,8
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3035.JPG,14
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3036.JPG,24
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3037.JPG,14
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3038.JPG,12
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3039.JPG,12
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3040.JPG,7
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3041.JPG,22
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3042.JPG,21
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3043.JPG,12
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3044.JPG,10
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3045.JPG,10
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3046.JPG,7
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3047.JPG,13
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3048.JPG,8
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3049.JPG,8
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3050.JPG,3
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3051.JPG,11
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3052.JPG,12
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3053.JPG,10
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3054.JPG,12
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3055.JPG,12
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3056.JPG,8
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3057.JPG,13
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3058.JPG,9
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3059.JPG,24
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3060.JPG,17
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3061.JPG,20
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3062.JPG,9
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3063.JPG,5
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3064.JPG,24
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3065.JPG,7
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3066.JPG,12
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3067.JPG,10
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3068.JPG,1
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3069.JPG,0
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3070.JPG,3
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3071.JPG,23
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3072.JPG,17
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3073.JPG,2
Coral Garden\JULY 2024_CG_D\CG-D_T3\GOPR3074.JPG,16
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3377.JPG,23
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3378.JPG,19
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3379.JPG,31
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3380.JPG,20
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3381.JPG,31
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3382.JPG,30
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3383.JPG,36
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3384.JPG,50
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3385.JPG,42
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3386.JPG,18
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3387.JPG,18
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3388.JPG,10
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3389.JPG,20
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3390.JPG,32
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3391.JPG,28
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3392.JPG,18
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3393.JPG,24
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3394.JPG,29
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3395.JPG,22
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3396.JPG,23
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3397.JPG,15
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3398.JPG,10
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3399.JPG,23
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3400.JPG,15
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3401.JPG,8
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3402.JPG,21
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3403.JPG,24
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3404.JPG,11
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3405.JPG,54
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3406.JPG,35
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3407.JPG,36
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3408.JPG,35
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3409.JPG,43
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3410.JPG,33
Giant Clam (Shallow Only)\2024_JUL_GC_D\2024_JUL_GC-D_T1\GOPR3411.JPG,39
