epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,3495.9,1.24147,1.01461,1.43468,0.75088,0.64558,0.7172,0.38267,1.55224,1.14129,1.75412,0.00030205,0.00030205,0.00030205
143,3520.45,1.24423,1.03016,1.4364,0.70325,0.66229,0.70096,0.3747,1.57606,1.17147,1.78541,0.0002971,0.0002971,0.0002971
144,3544.93,1.23615,1.00253,1.42632,0.74025,0.63484,0.71339,0.37853,1.57602,1.14494,1.77897,0.00029215,0.00029215,0.00029215
145,3569.41,1.22042,0.98959,1.42162,0.72671,0.63781,0.69906,0.38199,1.56068,1.15995,1.75864,0.0002872,0.0002872,0.0002872
146,3593.92,1.2218,1.00054,1.42698,0.73152,0.63604,0.71101,0.39041,1.54657,1.15711,1.74222,0.00028225,0.00028225,0.00028225
147,3618.42,1.23081,1.00706,1.44074,0.71188,0.6516,0.7066,0.38744,1.53816,1.15408,1.74806,0.0002773,0.0002773,0.0002773
148,3642.86,1.22832,1.01448,1.43633,0.71436,0.65871,0.71563,0.38482,1.5721,1.14961,1.762,0.00027235,0.00027235,0.00027235
149,3667.3,1.20838,0.97371,1.41477,0.73014,0.65543,0.71231,0.38891,1.56833,1.16587,1.77791,0.0002674,0.0002674,0.0002674
150,3691.76,1.20699,0.97017,1.4114,0.71484,0.67008,0.70774,0.37993,1.58196,1.15919,1.78035,0.00026245,0.00026245,0.00026245
151,3716.23,1.21429,0.98181,1.41699,0.72823,0.6587,0.7156,0.38309,1.57184,1.12762,1.77543,0.0002575,0.0002575,0.0002575
152,3740.66,1.20911,0.98453,1.41608,0.72021,0.6778,0.71657,0.39016,1.55805,1.12941,1.76551,0.00025255,0.00025255,0.00025255
153,3765.12,1.20657,0.97738,1.41923,0.73628,0.65513,0.71592,0.38828,1.55421,1.14874,1.77175,0.0002476,0.0002476,0.0002476
154,3789.6,1.22678,0.98679,1.42184,0.72734,0.65632,0.71577,0.38945,1.54729,1.16859,1.78045,0.00024265,0.00024265,0.00024265
155,3814.04,1.19276,0.96204,1.40669,0.70148,0.67064,0.71221,0.38675,1.55784,1.19392,1.77613,0.0002377,0.0002377,0.0002377
156,3838.55,1.19836,0.95841,1.40854,0.71046,0.67422,0.71305,0.39141,1.55574,1.18213,1.77313,0.00023275,0.00023275,0.00023275
157,3863.03,1.20622,0.97489,1.40646,0.72382,0.64797,0.71155,0.3852,1.57606,1.16705,1.77678,0.0002278,0.0002278,0.0002278
